STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5792;2019102103:00;    1;   93.0;    0.0;    0.0;   0;   122.67;2019102104:00;eor
       5792;2019102104:00;    1;   87.0;    0.0;    0.0;   0;   112.93;2019102105:00;eor
       5792;2019102105:00;    1;  105.0;    0.0;    0.0;   0;   102.83;2019102106:00;eor
       5792;2019102106:00;    1;  109.0;    1.0;    1.0;   0;    92.78;2019102107:00;eor
       5792;2019102107:00;    1;  109.0;    6.0;    6.0;   0;    83.17;2019102108:00;eor
       5792;2019102108:00;    1;  113.0;    8.0;    8.0;   0;    74.39;2019102109:00;eor
       5792;2019102109:00;    1;  100.0;   65.0;   96.0;  26;    66.95;2019102110:00;eor
       5792;2019102110:00;    1;  101.0;   86.0;  154.0;  42;    61.43;2019102111:00;eor
       5792;2019102111:00;    1;   98.0;   88.0;  172.0;  44;    58.47;2019102112:00;eor
       5792;2019102112:00;    1;   93.0;   69.0;  197.0;  60;    58.49;2019102113:00;eor
       5792;2019102113:00;    1;  108.0;   69.0;   79.0;  10;    61.48;2019102114:00;eor
       5792;2019102114:00;    1;  107.0;   62.0;   95.0;  27;    67.01;2019102115:00;eor
       5792;2019102115:00;    1;   96.0;   47.0;   95.0;  49;    74.48;2019102116:00;eor
       5792;2019102116:00;    1;  109.0;   24.0;   25.0;   1;    83.28;2019102117:00;eor
       5792;2019102117:00;    1;  108.0;    1.0;    1.0;   0;    92.91;2019102118:00;eor
       5792;2019102118:00;    1;   -999;    0.0;    0.0;   0;   102.97;2019102119:00;eor
       5792;2019102119:00;    1;   98.0;    0.0;    0.0;   0;   113.09;2019102120:00;eor
       5792;2019102120:00;    1;  103.0;    0.0;    0.0;   0;   122.86;2019102121:00;eor
       5792;2019102121:00;    1;  100.0;    0.0;    0.0;   0;   131.72;2019102122:00;eor
       5792;2019102122:00;    1;  100.0;    0.0;    0.0;   0;   138.80;2019102123:00;eor
       5792;2019102123:00;    1;  102.0;    0.0;    0.0;   0;   142.88;2019102200:00;eor
       5792;2019102200:00;    1;  109.0;    0.0;    0.0;   0;   142.90;2019102201:00;eor
       5792;2019102201:00;    1;  111.0;    0.0;    0.0;   0;   138.84;2019102202:00;eor
       5792;2019102202:00;    1;  107.0;    0.0;    0.0;   0;   131.78;2019102203:00;eor
       5792;2019102203:00;    1;   96.0;    0.0;    0.0;   0;   122.94;2019102204:00;eor
       5792;2019102204:00;    1;   92.0;    0.0;    0.0;   0;   113.19;2019102205:00;eor
       5792;2019102205:00;    1;   86.0;    0.0;    0.0;   0;   103.08;2019102206:00;eor
       5792;2019102206:00;    1;   87.0;    1.0;    1.0;  14;    93.05;2019102207:00;eor
       5792;2019102207:00;    1;   88.0;   17.0;   23.0;  34;    83.45;2019102208:00;eor
       5792;2019102208:00;    1;   87.0;   32.0;   82.0;  49;    74.69;2019102209:00;eor
       5792;2019102209:00;    1;   86.0;   33.0;  146.0;  60;    67.26;2019102210:00;eor
       5792;2019102210:00;    1;   85.0;   30.0;  191.0;  60;    61.77;2019102211:00;eor
       5792;2019102211:00;    1;   86.0;   36.0;  211.0;  60;    58.83;2019102212:00;eor
       5792;2019102212:00;    1;   89.0;   73.0;  202.0;  60;    58.84;2019102213:00;eor
       5792;2019102213:00;    1;   90.0;   82.0;  166.0;  60;    61.82;2019102214:00;eor
       5792;2019102214:00;    1;   87.0;   52.0;  133.0;  60;    67.33;2019102215:00;eor
       5792;2019102215:00;    1;   87.0;   42.0;   78.0;  57;    74.77;2019102216:00;eor
       5792;2019102216:00;    1;   92.0;   20.0;   20.0;   0;    83.55;2019102217:00;eor
       5792;2019102217:00;    1;   92.0;    1.0;    1.0;   0;    93.17;2019102218:00;eor
       5792;2019102218:00;    1;   91.0;    0.0;    0.0;   0;   103.23;2019102219:00;eor
       5792;2019102219:00;    1;   87.0;    0.0;    0.0;   0;   113.35;2019102220:00;eor
       5792;2019102220:00;    1;   83.0;    0.0;    0.0;   0;   123.13;2019102221:00;eor
       5792;2019102221:00;    1;   82.0;    0.0;    0.0;   0;   132.01;2019102222:00;eor
       5792;2019102222:00;    1;   83.0;    0.0;    0.0;   0;   139.12;2019102223:00;eor
       5792;2019102223:00;    1;   83.0;    0.0;    0.0;   0;   143.23;2019102300:00;eor
       5792;2019102300:00;    1;   81.0;    0.0;    0.0;   0;   143.25;2019102301:00;eor
       5792;2019102301:00;    1;   82.0;    0.0;    0.0;   0;   139.16;2019102302:00;eor
       5792;2019102302:00;    1;   89.0;    0.0;    0.0;   0;   132.07;2019102303:00;eor
       5792;2019102303:00;    1;   89.0;    0.0;    0.0;   0;   123.21;2019102304:00;eor
       5792;2019102304:00;    1;   84.0;    0.0;    0.0;   0;   113.45;2019102305:00;eor
       5792;2019102305:00;    1;   80.0;    0.0;    0.0;   0;   103.34;2019102306:00;eor
       5792;2019102306:00;    1;   79.0;    1.0;    1.0;  13;    93.31;2019102307:00;eor
       5792;2019102307:00;    1;   79.0;    9.0;   33.0;  60;    83.72;2019102308:00;eor
       5792;2019102308:00;    1;   81.0;   15.0;   99.0;  60;    74.98;2019102309:00;eor
       5792;2019102309:00;    1;   81.0;   18.0;  153.0;  60;    67.58;2019102310:00;eor
       5792;2019102310:00;    1;   82.0;   20.0;  193.0;  60;    62.11;2019102311:00;eor
       5792;2019102311:00;    1;   82.0;   21.0;  213.0;  60;    59.18;2019102312:00;eor
       5792;2019102312:00;    1;   83.0;   23.0;  214.0;  60;    59.19;2019102313:00;eor
