STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
      15000;2025092407:27;    1;  105.0;   33.0;   34.0;   0;    76.48;2025092408:00;eor
      15000;2025092408:27;    1;  108.0;   49.0;   49.0;   0;    67.88;2025092409:00;eor
      15000;2025092409:27;    1;  108.0;   69.0;   70.0;   0;    60.46;2025092410:00;eor
      15000;2025092410:27;    1;  108.0;   97.0;  106.0;   3;    54.88;2025092411:00;eor
      15000;2025092411:27;    1;  111.0;   88.0;   89.0;   0;    51.85;2025092412:00;eor
      15000;2025092412:27;    1;  112.0;   94.0;   95.0;   0;    51.87;2025092413:00;eor
      15000;2025092413:27;    1;  115.0;   71.0;   72.0;   0;    54.93;2025092414:00;eor
      15000;2025092414:27;    1;  118.0;   48.0;   48.0;   0;    60.54;2025092415:00;eor
      15000;2025092415:27;    1;  120.0;   29.0;   29.0;   0;    67.98;2025092416:00;eor
      15000;2025092416:27;    1;  120.0;   17.0;   17.0;   0;    76.59;2025092417:00;eor
      15000;2025092417:27;    1;  122.0;    3.0;    3.0;   0;    85.85;2025092418:00;eor
      15000;2025092418:27;    1;  124.0;    0.0;    0.0;   0;    95.33;2025092419:00;eor
      15000;2025092419:27;    1;  124.0;    0.0;    0.0;   0;   104.62;2025092420:00;eor
      15000;2025092420:27;    1;  124.0;    0.0;    0.0;   0;   113.30;2025092421:00;eor
      15000;2025092421:27;    1;  124.0;    0.0;    0.0;   0;   120.83;2025092422:00;eor
      15000;2025092422:27;    1;  124.0;    0.0;    0.0;   0;   126.52;2025092423:00;eor
      15000;2025092423:27;    1;  124.0;    0.0;    0.0;   0;   129.65;2025092500:00;eor
      15000;2025092500:27;    1;  126.0;    0.0;    0.0;   0;   129.67;2025092501:00;eor
      15000;2025092501:27;    1;  126.0;    0.0;    0.0;   0;   126.57;2025092502:00;eor
      15000;2025092502:27;    1;  126.0;    0.0;    0.0;   0;   120.90;2025092503:00;eor
      15000;2025092503:27;    1;  125.0;    0.0;    0.0;   0;   113.40;2025092504:00;eor
      15000;2025092504:27;    1;  125.0;    0.0;    0.0;   0;   104.74;2025092505:00;eor
      15000;2025092505:27;    1;  124.0;    0.0;    0.0;   0;    95.47;2025092506:00;eor
